[WARN][KafkaAdmin] 2025/03/26 05:33:13.102427 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:14.107255 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:15.113818 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:16.116906 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:17.127116 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:18.135706 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:19.145631 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:20.151882 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:21.158477 Topic test-topic has 1 partitions, expected 50
[INFO][ProducerMain] 2025/03/26 05:33:22.545407 Starting producer in dev environment
[INFO][KafkaAdmin] 2025/03/26 05:33:22.551593 Creating topic test-topic with 50 partitions and replication factor 1
[INFO][KafkaAdmin] 2025/03/26 05:33:22.556630 Topic test-topic created successfully
[WARN][KafkaAdmin] 2025/03/26 05:33:22.563549 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:23.574662 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:24.580362 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:25.585646 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:26.589669 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:27.595092 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:28.603118 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:29.610499 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:30.613943 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:31.623707 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:32.630261 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:33.639679 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:34.650003 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:35.655744 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:36.661882 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:37.666177 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:38.669714 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:39.679890 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:40.687168 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:41.703567 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:42.709151 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:43.714898 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:44.725705 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:45.734820 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:46.741933 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:47.753124 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:48.760195 Topic test-topic has 1 partitions, expected 50
[INFO][ProducerMain] 2025/03/26 05:33:49.130770 Received signal terminated, shutting down
[WARN][KafkaAdmin] 2025/03/26 05:33:49.762027 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:50.771225 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:51.783094 Topic test-topic has 1 partitions, expected 50
[INFO][ProducerMain] 2025/03/26 05:33:53.304171 Starting producer in dev environment
[INFO][KafkaAdmin] 2025/03/26 05:33:53.314647 Creating topic test-topic with 50 partitions and replication factor 1
[INFO][KafkaAdmin] 2025/03/26 05:33:53.316104 Topic test-topic created successfully
[WARN][KafkaAdmin] 2025/03/26 05:33:53.321442 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:54.326778 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:55.330930 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:56.339312 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:57.344159 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:58.347270 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:33:59.354293 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:00.363790 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:01.366372 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:02.374669 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:03.385179 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:04.391978 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:05.399142 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:06.406982 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:07.417415 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:08.427336 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:09.435740 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:10.442592 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:11.447080 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:12.450004 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:13.457801 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:14.463758 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:15.466925 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:16.476461 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:17.484765 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:18.492108 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:19.501929 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:20.506960 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:21.511406 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:22.518701 Topic test-topic has 1 partitions, expected 50
[INFO][ProducerMain] 2025/03/26 05:34:23.911454 Starting producer in dev environment
[INFO][KafkaAdmin] 2025/03/26 05:34:23.918823 Creating topic test-topic with 50 partitions and replication factor 1
[INFO][KafkaAdmin] 2025/03/26 05:34:23.921740 Topic test-topic created successfully
[WARN][KafkaAdmin] 2025/03/26 05:34:23.926063 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:24.931273 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:25.935639 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:26.943426 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:27.951194 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:28.960704 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:29.972528 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:30.979577 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:31.986439 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:32.991580 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:33.996086 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:35.002061 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:36.009574 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:37.016806 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:38.021189 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:39.035070 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:40.043843 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:41.051000 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:42.057396 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:43.062877 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:44.070930 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:45.076047 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:46.082431 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:47.088613 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:48.096725 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:49.104270 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:50.111255 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:51.118111 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:52.129201 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:53.136168 Topic test-topic has 1 partitions, expected 50
[INFO][ProducerMain] 2025/03/26 05:34:54.616696 Starting producer in dev environment
[INFO][KafkaAdmin] 2025/03/26 05:34:54.626209 Creating topic test-topic with 50 partitions and replication factor 1
[INFO][KafkaAdmin] 2025/03/26 05:34:54.630230 Topic test-topic created successfully
[WARN][KafkaAdmin] 2025/03/26 05:34:54.637744 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:55.641540 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:56.644493 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:57.646399 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:58.653202 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:34:59.660472 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:00.665475 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:01.671004 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:02.681060 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:03.689038 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:04.697658 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:05.709390 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:06.714740 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:07.717276 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:08.721268 Topic test-topic has 1 partitions, expected 50
[WARN][KafkaAdmin] 2025/03/26 05:35:09.728031 Topic test-topic has 1 partitions, expected 50
